report_date,campaign_id,spend,impressions,clicks,conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas
2026-04-07,1856156648605858,100077,53412,1140,4,4,606875,2427500,24.26
2026-04-07,1856728035726529,0,0,0,0,0,0,0,0
2026-04-07,1858788275666081,100082,94020,1013,3,3,392000,1176000,11.75
2026-04-08,1854347729644690,540843,226207,6078,5,5,269940,1349700,2.5
2026-04-08,1854918885396689,276865,140436,378,0,0,0,0,0
2026-04-08,1856156648605858,100149,30620,1434,5,5,211400,1057000,10.55
2026-04-08,1856728035726529,0,0,0,0,0,0,0,0
2026-04-08,1858788275666081,100043,57470,1065,3,3,156666,469998,4.7
2026-04-09,1854347729644690,391759,161339,1646,1,1,495218,495218,1.26
2026-04-09,1854918885396689,275967,118244,897,2,2,245274,490548,1.78
2026-04-09,1856156648605858,79424,15458,1420,0,0,0,0,0
2026-04-09,1856728035726529,0,0,0,0,0,0,0,0
2026-04-09,1858788275666081,99977,58388,1683,2,2,234000,468000,4.68
2026-04-10,1854347729644690,539875,235879,10235,2,2,251908,503816,0.93
2026-04-10,1854918885396689,275666,123285,2239,0,0,0,0,0
2026-04-10,1856156648605858,114786,25330,3085,1,1,245000,245000,2.13
2026-04-10,1856728035726529,0,0,0,0,0,0,0,0
2026-04-10,1858788275666081,99853,41962,1542,2,2,134500,269000,2.69
2026-04-11,1854347729644690,479158,202268,12983,2,2,239500,479000,1
2026-04-11,1854918885396689,274805,132267,2435,0,0,0,0,0
2026-04-11,1856156648605858,105149,39654,3412,0,0,0,0,0
2026-04-11,1856728035726529,0,0,0,0,0,0,0,0
2026-04-11,1858788275666081,99682,68087,2284,0,0,0,0,0
2026-04-12,1854347729644690,480623,253511,4472,2,2,490350,980700,2.04
2026-04-12,1854918885396689,276281,132057,2500,3,3,246666,739998,2.68
2026-04-12,1856156648605858,100020,30969,3348,3,3,334833,1004499,10.04
2026-04-12,1858788275666081,100105,141452,1764,1,1,245000,245000,2.45
2026-04-13,1854347729644690,480687,240799,6929,2,2,239500,479000,1
2026-04-13,1854918885396689,219617,113075,1878,1,1,394353,394353,1.8
2026-04-13,1856156648605858,100190,28798,3187,4,4,253850,1015400,10.13
2026-04-13,1856728035726529,0,0,0,0,0,0,0,0
2026-04-13,1858788275666081,100101,97531,1297,1,1,245000,245000,2.45
2026-04-14,1854347729644690,481703,178667,3184,0,0,0,0,0
2026-04-14,1854918885396689,333176,144044,2674,3,3,151874,455622,1.37
2026-04-14,1856156648605858,100134,36852,3071,1,1,32747,32747,0.33
2026-04-14,1856728035726529,0,0,0,0,0,0,0,0
2026-04-14,1858788275666081,100029,83599,1099,2,2,247000,494000,4.94
2026-04-15,1854347729644690,480759,223082,6311,2,2,251100,502200,1.04
2026-04-15,1854918885396689,275942,123222,2881,1,1,159000,159000,0.58
2026-04-15,1856156648605858,100077,46514,2979,0,0,0,0,0
2026-04-15,1856728035726529,0,0,0,0,0,0,0,0
2026-04-15,1858788275666081,100040,86271,1511,2,2,138075,276150,2.76
2026-04-16,1854347729644690,479813,272107,4696,2,2,268200,536400,1.12
2026-04-16,1854918885396689,276314,134807,1953,2,2,137150,274300,0.99
2026-04-16,1856156648605858,99951,47590,3338,2,2,123920,247840,2.48
2026-04-16,1856728035726529,0,0,0,0,0,0,0,0
2026-04-16,1858788275666081,100250,53884,1396,1,1,283000,283000,2.82
2026-04-17,1854347729644690,479356,179877,2924,0,0,0,0,0
2026-04-17,1854918885396689,219392,108664,1571,0,0,0,0,0
2026-04-17,1856156648605858,99983,33582,4520,0,0,0,0,0
2026-04-17,1858788275666081,99860,41196,2103,0,0,0,0,0
